freq,currency,geo\TIME_PERIOD	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 	2022-S1 	2022-S2 	2023-S1 	2023-S2 	2024-S1 	2024-S2 	2025-S1 	2025-S2 	2026-S1 
S,NAC,IT	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,NAC,LT	125 	125 	125 	125 	125 	125 	125 	125 	125 	125 	130 	145 	145 	159 	159 	174 	174 	203 	232 	232 	232 	232 	232 	232 	232 	232 	232 	232 	290 	290 	290 	290 	300 	325 	350 	380 	380 	380 	400 	400 	555 	555 	607 	607 	642 	642 	730 	730 	840 	840 	924 	924 	1038 	1038 	1153 
S,NAC,LU	1162 	1162 	1191 	1221 	1259 	1290 	1290 	1322 	1369 	1369 	1403 	1403 	1467 	1467 	1503 	1503 	1570 	1570 	1570 	1610 	1642 	1683 	1683 	1725 	1758 	1758 	1801 	1801 	1874 	1874 	1921 	1921 	1923 	1923 	1923 	1923 	1999 	1999 	1999 	1999 	2090 	2090 	2142 	2142 	2202 	2202 	2257 	2313 	2387 	2508 	2571 	2571 	2638 	2704 	2704 
S,NAC,LV	71 	71 	71 	71 	71 	85 	85 	85 	100 	100 	114 	114 	114 	114 	128 	128 	171 	171 	228 	228 	256 	256 	256 	256 	285 	285 	285 	285 	285 	285 	320 	320 	360 	360 	370 	370 	380 	380 	430 	430 	430 	430 	430 	430 	500 	500 	500 	500 	620 	620 	700 	700 	740 	740 	780 
S,NAC,MD	18 	18 	18 	18 	100 	100 	100 	100 	100 	100 	100 	100 	200 	200 	200 	200 	200 	400 	400 	400 	600 	600 	600 	600 	600 	600 	600 	600 	600 	600 	600 	600 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	4000 	4000 	5000 	5000 	5500 	5500 	6300 
S,NAC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	288 	288 	288 	288 	288 	288 	288 	288 	288 	288 	288 	288 	331 	331 	331 	331 	331 	533 	533 	533 	533 	533 	533 	670 	670 	670 
S,NAC,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12268 	12268 	13140 	13140 	13140 	13986 	13986 	14563 	14810 	17130 	17130 	17130 	17943 	20997 	21107 	21107 	21776 	22146 	22146 	26422 	26422 	29739 	29739 	33352 	33352 	36037 	36037 
S,NAC,MT	478 	478 	488 	488 	503 	503 	519 	519 	536 	536 	544 	544 	562 	562 	584 	584 	602 	602 	617 	617 	635 	635 	660 	660 	665 	665 	685 	685 	703 	703 	718 	718 	720 	720 	728 	728 	736 	736 	748 	748 	762 	762 	777 	777 	785 	785 	792 	792 	835 	835 	925 	925 	961 	961 	994 
S,NAC,NL	1064 	1078 	1092 	1111 	1155 	1180 	1207 	1232 	1249 	1265 	1265 	1265 	1265 	1265 	1273 	1285 	1301 	1317 	1335 	1357 	1381 	1399 	1408 	1416 	1424 	1435 	1447 	1456 	1469 	1478 	1486 	1495 	1502 	1508 	1525 	1537 	1552 	1565 	1578 	1594 	1616 	1636 	1654 	1680 	1685 	1701 	1725 	1756 	1934 	1995 	2070 	2134 	2193 	2246 	2295 
S,NAC,NO	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,NAC,PL	650 	650 	670 	700 	760 	760 	760 	760 	800 	800 	824 	824 	849 	849 	899 	899 	936 	936 	1126 	1126 	1276 	1276 	1317 	1317 	1386 	1386 	1500 	1500 	1600 	1600 	1680 	1680 	1750 	1750 	1850 	1850 	2000 	2000 	2100 	2100 	2250 	2250 	2600 	2600 	2800 	2800 	3010 	3010 	3490 	3600 	4242 	4300 	4666 	4666 	4806 
S,NAC,PT	357 	357 	371 	371 	390 	390 	406 	406 	416 	416 	426 	426 	437 	437 	450 	450 	470 	470 	497 	497 	525 	525 	554 	554 	566 	566 	566 	566 	566 	566 	566 	566 	589 	589 	618 	618 	650 	650 	677 	677 	700 	700 	741 	741 	776 	776 	823 	823 	887 	887 	957 	957 	1015 	1015 	1073 
S,NAC,RO	35 	45 	45 	70 	100 	140 	140 	175 	250 	250 	280 	280 	310 	310 	330 	330 	390 	390 	500 	500 	600 	600 	600 	600 	670 	670 	700 	700 	700 	800 	850 	900 	975 	1050 	1050 	1250 	1250 	1450 	1900 	1900 	2080 	2080 	2230 	2230 	2230 	2300 	2550 	2550 	3000 	3000 	3300 	3700 	4050 	4050 	4050 
S,NAC,RS	387 	387 	387 	471 	402 	2932 	4608 	5617 	6241 	6740 	7921 	8943 	9837 	10476 	11753 	12520 	12796 	14897 	16511 	18409 	20643 	20578 	21323 	21218 	22459 	24067 	24067 	27206 	27206 	26976 	26976 	26941 	28431 	28403 	28403 	28379 	30613 	30586 	33813 	33355 	36408 	36365 	40502 	40502 	43044 	43044 	47193 	47193 	53993 	53993 	63700 	63700 	72396 	72396 	87207 
S,NAC,SE	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,NAC,SI	285 	285 	310 	321 	352 	352 	395 	395 	432 	432 	465 	465 	490 	490 	512 	512 	522 	522 	539 	567 	589 	589 	597 	734 	748 	748 	763 	763 	784 	784 	789 	789 	791 	791 	791 	791 	805 	805 	843 	843 	887 	887 	941 	941 	1024 	1024 	1074 	1074 	1203 	1203 	1254 	1254 	1278 	1278 	1278 
S,NAC,SK	100 	120 	133 	133 	146 	146 	163 	163 	185 	185 	202 	202 	216 	216 	229 	229 	252 	252 	269 	269 	296 	296 	308 	308 	317 	317 	327 	327 	338 	338 	352 	352 	380 	380 	405 	405 	435 	435 	480 	480 	520 	520 	580 	580 	623 	623 	646 	646 	700 	700 	750 	750 	816 	816 	915 
S,NAC,TR	78 	94 	110 	119 	140 	168 	222 	251 	306 	306 	423 	444 	489 	489 	531 	531 	563 	585 	608 	639 	666 	693 	729 	761 	797 	837 	887 	941 	979 	1022 	1071 	1134 	1202 	1274 	1647 	1647 	1778 	1778 	2030 	2030 	2558 	2558 	2943 	2943 	3578 	3578 	5004 	6471 	10008 	13415 	20003 	20003 	26006 	26006 	33030 
S,NAC,UA	74 	74 	74 	118 	118 	118 	140 	165 	185 	185 	205 	205 	262 	310 	350 	375 	400 	440 	515 	525 	605 	630 	869 	888 	941 	960 	1073 	1102 	1147 	1147 	1218 	1218 	1218 	1218 	1378 	1450 	3200 	3200 	3723 	3723 	4173 	4173 	4723 	4723 	6000 	6000 	6500 	6500 	6700 	6700 	7100 	8000 	8000 	8000 	8647 
S,NAC,UK	: m	592 	592 	592 	610 	610 	675 	675 	692 	692 	743 	743 	800 	800 	831 	831 	883 	883 	911 	911 	948 	948 	956 	956 	978 	978 	1004 	1004 	1020 	1020 	1043 	1043 	1074 	1074 	1110 	1193 	1193 	1243 	1242 	1300 	1300 	1360 	1360 	1445 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
S,NAC,US	893 	893 	893 	893 	893 	893 	893 	893 	893 	893 	893 	893 	893 	893 	893 	893 	893 	893 	1014 	1014 	1135 	1135 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 	1257 
S,PPS,AL	85 	93 	94 	104 	103 	112 	110 	137 	138 	148 	149 	160 	161 	176 	173 	206 	204 	204 	230 	244 	237 	251 	255 	269 	271 	285 	294 	309 	302 	316 	314 	314 	326 	326 	314 	314 	313 	341 	336 	336 	363 	363 	353 	353 	398 	398 	411 	438 	479 	564 	566 	566 e	566 e	566 e	708 e
S,PPS,AT	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,PPS,BE	950 	970 	1005 	1005 	1021 	1041 	1054 	1075 	1062 	1083 	1083 	1083 	1108 	1108 	1124 	1124 	1141 	1163 	1183 	1206 	1243 	1243 	1247 	1247 	1272 	1298 	1295 	1320 	1343 	1343 	1351 	1351 	1351 	1351 	1325 	1352 	1341 	1368 	1363 	1363 	1387 	1387 	1403 	1431 	1408 	1408 	1411 	1568 	1666 	1666 	1711 	1776 e	1776 e	1812 e	1812 e
S,PPS,BG	83 	90 	89 	99 	99 	107 	126 	126 	140 	140 	146 	146 	180 	180 	179 	179 	191 	191 	218 	218 	229 	229 	232 	232 	236 	236 	266 	286 	313 	313 	353 	353 	370 	390 	433 	433 	459 	459 	503 	503 	534 	534 	565 	565 	598 	598 	573 	626 	675 	675 	799 	799 e	923 e	923 e	1039 e
S,PPS,CH	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,PPS,CY	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	1011 	1011 	1078 	1078 e	1078 e	1078 e	1173 e
S,PPS,CZ	180 	200 	220 	247 	279 	279 	307 	307 	342 	342 	365 	365 	394 	394 	408 	429 	436 	436 	433 	433 	434 	434 	434 	434 	434 	434 	432 	432 	439 	439 	472 	472 	505 	505 	536 	536 	593 	593 	643 	643 	693 	693 	723 	723 	711 	711 	735 	735 	777 	777 	851 	851 e	936 e	936 e	1009 e
S,PPS,DE	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	1350 	1350 	1349 	1349 	1414 	1414 	1424 	1424 	1458 	1458 	1444 	1444 	1479 	1494 	1507 	1604 	1841 	1841 	1891 	1891 e	1989 e	1989 e	2157 e
S,PPS,DK	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,PPS,EE	133 	133 	148 	148 	162 	162 	189 	189 	220 	220 	248 	248 	263 	263 	276 	276 	314 	314 	368 	368 	375 	375 	381 	381 	375 	375 	384 	384 	417 	417 	458 	458 	503 	503 	546 	546 	581 	581 	602 	602 	636 	636 	679 	679 	641 	641 	659 	659 	718 	718 	820 	820 e	886 e	886 e	886 e
S,PPS,EL	582 	590 	604 	613 	635 	644 	676 	688 	700 	700 	713 	713 	745 	745 	788 	788 	786 	826 	856 	856 	858 	905 	884 	884 	884 	898 	911 	711 	740 	740 	771 	771 	775 	775 	780 	780 	787 	787 	787 	787 	787 	873 	858 	858 	869 	869 	885 	952 	970 	1061 	1059 	1127 e	1127 e	1194 e	1194 e
S,PPS,ES	535 	535 	547 	547 	559 	559 	576 	576 	577 	577 	573 	611 	638 	638 	670 	670 	691 	691 	722 	722 	735 	735 	741 	741 	749 	749 	754 	754 	773 	773 	782 	782 	798 	798 	802 	802 	872 	872 	891 	891 	1094 	1094 	1133 	1133 	1173 	1173 	1202 	1246 	1281 	1384 	1456 	1456 e	1519 e	1519 e	1519 e
S,PPS,FI	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,PPS,FR	914 	926 	951 	982 	1004 	1045 	1048 	1073 	1040 	1095 	1084 	1148 	1171 	1109 	1102 	1135 	1136 	1159 	1145 	1182 	1176 	1191 	1203 	1203 	1225 	1225 	1249 	1274 	1294 	1294 	1301 	1301 	1301 	1301 	1305 	1305 	1310 	1310 	1315 	1315 	1341 	1341 	1363 	1363 	1360 	1360 	1426 	1464 	1523 	1557 	1589 	1589 e	1620 e	1620 e	1639 e
S,PPS,HR	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	508 	500 	512 	516 	516 	519 	519 	526 	526 	530 	563 	577 	577 	587 	587 	604 	604 	634 	634 	657 	657 	709 	709 	762 	762 	813 	813 	857 	857 	937 	937 	1102 	1102 e	1272 e	1272 e	1377 e
S,PPS,HU	177 	177 	189 	189 	280 	280 	337 	337 	328 	328 	331 	331 	351 	351 	376 	376 	374 	374 	391 	391 	401 	401 	413 	413 	443 	443 	514 	514 	541 	541 	546 	546 	552 	552 	571 	571 	626 	626 	656 	656 	680 	680 	692 	692 	659 	685 	759 	759 	822 	822 	918 	918 e	1001 e	1001 e	1111 e
S,PPS,IE	: m	: m	: m	797 	774 	826 	792 	792 	842 	842 	846 	933 	937 	1024 	1021 	1021 	1104 	1150 	1129 	1129 	1162 	1162 	1216 	1216 	1207 	1207 	1200 	1200 	1179 	1179 	1143 	1143 	1139 	1139 	1195 	1195 	1188 	1188 	1203 	1203 	1215 	1215 	1169 	1205 	1246 	1246 	1284 	1284 	1393 	1393 	1554 	1554 e	1653 e	1653 e	1732 e
S,PPS,IS	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,PPS,IT	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,PPS,LT	206 	206 	211 	211 	213 	213 	220 	220 	233 	233 	241 	268 	259 	285 	270 	294 	282 	329 	352 	352 	350 	350 	360 	360 	355 	355 	354 	354 	448 	448 	448 	448 	468 	507 	538 	584 	575 	575 	593 	593 	816 	816 	868 	868 	897 	897 	925 	925 	1023 	1023 	1132 	1132 e	1272 e	1272 e	1413 e
S,PPS,LU	1040 	1040 	1069 	1096 	1110 	1138 	1149 	1178 	1224 	1224 	1223 	1223 	1288 	1288 	1333 	1333 	1358 	1358 	1357 	1390 	1373 	1407 	1383 	1417 	1436 	1436 	1464 	1464 	1514 	1514 	1527 	1527 	1532 	1532 	1504 	1504 	1552 	1552 	1575 	1575 	1583 	1583 	1559 	1559 	1588 	1588 	1646 	1687 	1782 	1872 	1935 	1935 e	1986 e	2035 e	2035 e
S,PPS,LV	145 	145 	146 	146 	149 	179 	174 	174 	195 	195 	210 	210 	196 	196 	198 	198 	239 	239 	294 	294 	339 	339 	363 	363 	390 	390 	388 	388 	393 	393 	434 	434 	492 	492 	497 	497 	507 	507 	561 	561 	552 	552 	548 	548 	665 	665 	620 	620 	756 	756 	856 	856 e	905 e	905 e	954 e
S,PPS,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	502 	507 	507 	513 	513 	515 	515 	506 	506 	501 	501 	505 	580 	553 	553 	559 	559 	866 	866 	857 	857 	840 	840 e	1058 e	1058 e	1058 e
S,PPS,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	407 	407 	441 	441 	443 	472 	474 	493 	493 	570 	558 	558 	586 	685 	669 	669 	722 	734 	690 	824 	795 	895 	882 	990 e	990 e	1069 e	1069 e
S,PPS,MT	632 	632 	642 	642 	653 	653 	665 	665 	715 	715 	720 	720 	742 	742 	744 	744 	770 	770 	778 	778 	787 	787 	830 	830 	824 	824 	842 	842 	840 	840 	855 	855 	859 	859 	861 	861 	853 	853 	864 	864 	881 	881 	868 	868 	856 	856 	859 	859 	918 	918 	1010 	1010 e	1049 e	1049 e	1085 e
S,PPS,NL	995 	1009 	1041 	1059 	1079 	1103 	1127 	1150 	1134 	1148 	1169 	1169 	1183 	1183 	1201 	1212 	1246 	1261 	1273 	1293 	1280 	1296 	1283 	1291 	1284 	1293 	1298 	1307 	1312 	1319 	1303 	1312 	1316 	1321 	1316 	1327 	1352 	1364 	1380 	1394 	1380 	1397 	1424 	1446 	1459 	1473 	1503 	1531 	1654 	1706 	1785 	1840 e	1891 e	1937 e	1979 e
S,PPS,NO	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,PPS,PL	290 	290 	281 	293 	314 	314 	316 	316 	336 	336 	339 	339 	339 	339 	361 	361 	388 	388 	465 	465 	509 	509 	543 	543 	572 	572 	623 	623 	666 	666 	691 	691 	726 	726 	758 	758 	800 	800 	826 	826 	875 	875 	991 	991 	1014 	1014 	1042 	1042 	1139 	1175 	1364 	1382 e	1500 e	1500 e	1545 e
S,PPS,PT	433 	433 	450 	450 	466 	466 	474 	474 	493 	493 	501 	501 	525 	525 	542 	542 	550 	550 	576 	576 	601 	601 	636 	636 	646 	646 	650 	650 	663 	663 	656 	656 	681 	681 	708 	708 	731 	731 	768 	768 	797 	797 	821 	821 	878 	878 	942 	942 	1022 	1022 	1100 	1100 e	1167 e	1167 e	1234 e
S,PPS,RO	56 	72 	52 	81 	90 	126 	104 	130 	155 	155 	163 	163 	160 	160 	163 	163 	184 	184 	224 	224 	258 	258 	260 	260 	287 	287 	296 	296 	290 	331 	348 	368 	398 	428 	435 	518 	500 	580 	732 	732 	790 	790 	832 	832 	810 	835 	863 	863 	992 	992 	1042 	1168 e	1279 e	1279 e	1279 e
S,PPS,RS	: 	: 	26 	32 	15 	107 	149 	182 	190 	205 	223 	251 	250 	266 	277 	295 	287 	334 	356 	397 	410 	408 	403 	401 	403 	432 	416 	470 	445 	441 	437 	436 	459 	458 	448 	448 	469 	469 	512 	506 	547 	546 	588 	588 	614 	614 	638 	638 	705 	705 	807 	807 e	917 e	917 e	1105 e
S,PPS,SE	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,PPS,SI	449 	449 	467 	485 	499 	499 	535 	535 	567 	567 	599 	599 	626 	626 	645 	645 	640 	640 	649 	683 	672 	672 	687 	844 	869 	869 	892 	892 	917 	917 	916 	916 	920 	920 	910 	910 	930 	930 	968 	968 	1021 	1021 	1078 	1078 	1175 	1175 	1216 	1216 	1344 	1344 	1390 	1390 e	1417 e	1417 e	1417 e
S,PPS,SK	160 	192 	203 	203 	225 	225 	248 	248 	261 	261 	273 	273 	297 	297 	308 	308 	339 	339 	366 	366 	402 	402 	435 	435 	444 	444 	455 	455 	478 	478 	500 	500 	538 	538 	520 	520 	528 	528 	568 	568 	604 	604 	697 	697 	756 	756 	758 	758 	835 	835 	885 	885 e	963 e	963 e	1080 e
S,PPS,TR	301 	74 	283 	307 	253 	304 	284 	321 	308 	308 	393 	412 	428 	428 	438 	438 	447 	465 	476 	500 	496 	517 	525 	548 	549 	577 	571 	605 	588 	614 	605 	640 	647 	686 	798 	798 	781 	781 	775 	775 	851 	851 	814 	814 	806 	806 	694 	897 	894 	1199 	1062 	1062 	: 	: 	: 
S,PPS,UK	: m	624 	646 	646 	682 	682 	744 	744 	771 	771 	842 	842 	887 	887 	931 	931 	976 	976 	988 	988 	980 	980 	987 	987 	996 	996 	1010 	1010 	1002 	1002 	1010 	1010 	1037 	1037 	1061 	1140 	1137 	1185 	1173 	1228 	1225 	1281 	1270.52 e	1349.46 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
S,PPS,US	761 	761 	757 	757 	754 	754 	752 	752 	756 	756 	751 	751 	755 	755 	750 	750 	749 	749 	839 	839 	919 	919 	1009 	1009 	995 	995 	995 	995 	979 	979 	972 	972 	978 	978 	947 	947 	943 	943 	927 	927 	894 	894 	882 	882 	871 	871 	847 	847 	837 	837 	837 	837 e	837 e	837 e	837 e
